RECORDEDATTIME,DIRECTIONREF,VEHICLEREF,VEHICLELOCATION_LATITUDE,VEHICLELOCATION_LONGITUDE,EXPECTEDARRIVALTIME,SCHEDULEDARRIVALTIME
01-06-2017 00:03,0,NYCT_430,40.63517,-73.960803,01-06-2017 00:03,24:06:14
01-06-2017 00:03,1,NYCT_8263,40.590802,-74.15834,01-06-2017 00:03,23:58:02
01-06-2017 00:03,0,NYCT_4223,40.88601,-73.912647,01-06-2017 00:03,24:00:53
01-06-2017 00:03,0,NYCT_8422,40.668002,-73.729348,01-06-2017 00:04,24:03:00
01-06-2017 00:03,1,NYCT_4710,40.868134,-73.893032,01-06-2017 00:03,23:59:38
01-06-2017 00:03,0,NYCT_3831,40.792897,-73.950023,01-06-2017 00:03,24:02:35
01-06-2017 00:03,0,NYCT_4611,40.587024,-73.918623,NA,24:08:00
01-06-2017 00:03,0,NYCT_4841,40.648801,-73.882682,01-06-2017 00:04,23:58:47
01-06-2017 00:03,0,NYCT_6592,40.632258,-73.918318,01-06-2017 00:03,24:00:00
01-06-2017 00:03,1,NYCT_8279,40.590689,-74.165811,01-06-2017 00:03,24:01:14
01-06-2017 00:03,0,NYCT_8334,40.876032,-73.829543,01-06-2017 00:04,23:48:35
01-06-2017 00:03,1,NYCT_7141,40.602164,-73.994162,01-06-2017 00:03,24:05:55
01-06-2017 00:03,1,NYCT_6503,40.693922,-73.990411,NA,NA
01-06-2017 00:03,0,NYCT_4723,40.869763,-73.867221,01-06-2017 00:04,24:04:12
01-06-2017 00:03,1,NYCT_5131,40.773762,-73.981962,01-06-2017 00:04,24:00:37
01-06-2017 00:03,1,NYCT_274,40.841608,-73.843465,01-06-2017 00:03,24:05:00
01-06-2017 00:03,0,NYCT_7766,40.84745,-73.887448,01-06-2017 00:04,24:01:16
01-06-2017 00:03,0,NYCT_6678,40.783676,-73.944412,01-06-2017 00:04,24:06:00
01-06-2017 00:03,1,NYCT_8408,40.695912,-73.782591,01-06-2017 00:03,24:00:37
