time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-25T11:07:46.745Z,59.2974,-150.8054,26.5,2.7,ml,,,,0.68,ak,ak020f5xxw6t,2020-11-25T11:24:28.040Z,"40 km SE of Halibut Cove, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-11-25T10:58:24.103Z,-35.5754,-71.7769,77.9,4.6,mb,,101,0.346,0.81,us,us6000csfp,2020-11-25T11:14:22.040Z,"4 km WNW of San Javier, Chile",earthquake,5,4.7,0.146,15,reviewed,us,us
2020-11-25T10:56:00.442Z,61.3364,-148.0739,10.4,1.6,ml,,,,0.75,ak,ak020f5xmv58,2020-11-25T10:59:25.035Z,"46 km ESE of Knik River, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-11-25T10:49:10.580Z,19.3910007476807,-155.245162963867,-1.04999995231628,2.18,ml,15,107,,0.370000005,hv,hv72244542,2020-11-25T10:54:47.050Z,"5 km SSW of Volcano, Hawaii",earthquake,0.67,0.810000002,0.27,14,automatic,hv,hv
2020-11-25T10:49:09.670Z,19.3843326568604,-155.235168457031,1.66999995708466,2.18,ml,34,80,,0.25,hv,hv72244537,2020-11-25T10:54:41.040Z,"6 km S of Volcano, Hawaii",earthquake,0.26,0.310000002,0.31,14,automatic,hv,hv
2020-11-25T10:43:57.310Z,35.6638333,-117.5468333,6.19,0.34,ml,6,142,0.1035,0.04,ci,ci39476631,2020-11-25T10:47:42.434Z,"13km ENE of Ridgecrest, CA",earthquake,0.58,1.19,0.118,3,automatic,ci,ci
2020-11-25T10:43:24.170Z,17.9506,-66.8581,16,2.28,md,8,208,0.0323,0.1,pr,pr2020330009,2020-11-25T11:08:10.701Z,"4 km SE of Maria Antonia, Puerto Rico",earthquake,0.48,0.52,0.17,7,reviewed,pr,pr
2020-11-25T10:29:19.630Z,17.9415,-66.8321,11,3.19,md,19,191,0.0579,0.16,pr,pr2020330008,2020-11-25T10:51:51.693Z,"5 km SSW of Indios, Puerto Rico",earthquake,0.54,0.42,0.29,14,reviewed,pr,pr
2020-11-25T10:24:26.110Z,19.4026660919189,-155.275497436523,0.259999990463257,2,md,16,46,,0.129999995,hv,hv72244492,2020-11-25T10:27:20.070Z,"6 km SW of Volcano, Hawaii",earthquake,0.17,0.25,1.05999994,11,automatic,hv,hv
2020-11-25T10:24:00.193Z,62.0012,-150.6823,43,1.9,ml,,,,0.8,ak,ak020f5xg080,2020-11-25T10:29:11.995Z,"37 km E of Skwentna, Alaska",earthquake,,0.9,,,automatic,ak,ak
